,cell_type,level,niche,npos,ncont,pval,effect,dge
91,Regulatory T cells,niche,Tumor core,26,1074,1.8448775631032423e-09,0.2321441205054031,"[{'names': 'HSPB1', 'logfoldchanges': 3.3769214153289795, 'pvals_adj': 0.0002989458607911034}, {'names': 'EPCAM', 'logfoldchanges': 4.627265453338623, 'pvals_adj': 0.0013958532289402258}, {'names': 'S100A6', 'logfoldchanges': 2.6639325618743896, 'pvals_adj': 0.011533436345783302}, {'names': 'HLA.A', 'logfoldchanges': 1.0239897966384888, 'pvals_adj': 0.023529302717784185}, {'names': 'PSAP', 'logfoldchanges': 2.5324246883392334, 'pvals_adj': 0.023529302717784185}]"
92,Regulatory T cells,niche,Excluded,29,1071,0.035180684498563826,0.12791824164759702,"[{'names': 'CD74', 'logfoldchanges': 0.8768181204795837, 'pvals_adj': 0.9997636730290077}, {'names': 'CALD1', 'logfoldchanges': 1.8918654918670654, 'pvals_adj': 0.9997636730290077}, {'names': 'H4C3', 'logfoldchanges': 1.3959256410598755, 'pvals_adj': 0.9997636730290077}, {'names': 'C1QB', 'logfoldchanges': 1.2043603658676147, 'pvals_adj': 0.9997636730290077}, {'names': 'CD28', 'logfoldchanges': 0.9275190830230713, 'pvals_adj': 0.9997636730290077}]"
93,Regulatory T cells,niche,T cell aggregates,170,930,2.1060185261801e-06,0.19784075713602636,"[{'names': 'CXCL9', 'logfoldchanges': 3.0163638591766357, 'pvals_adj': 4.5587362736480456e-08}, {'names': 'CCL19', 'logfoldchanges': 3.3694727420806885, 'pvals_adj': 2.6499304624422996e-07}, {'names': 'TIMP1', 'logfoldchanges': 1.3069236278533936, 'pvals_adj': 0.01593522294205229}, {'names': 'RPL21', 'logfoldchanges': 0.9821727275848389, 'pvals_adj': 0.049976085846305675}, {'names': 'IDO1', 'logfoldchanges': 2.390808582305908, 'pvals_adj': 0.327476050231871}]"
94,Regulatory T cells,niche,Desmoplastic stroma,280,820,3.1672265129970213e-15,0.28373912747823193,"[{'names': 'COL1A1', 'logfoldchanges': 1.6310598850250244, 'pvals_adj': 2.7947872128626945e-09}, {'names': 'COL1A2', 'logfoldchanges': 1.6819833517074585, 'pvals_adj': 5.264354181994493e-06}, {'names': 'COL3A1', 'logfoldchanges': 1.418135404586792, 'pvals_adj': 0.0001819884391971213}, {'names': 'DCN', 'logfoldchanges': 1.4374775886535645, 'pvals_adj': 0.00034298175126197544}, {'names': 'LUM', 'logfoldchanges': 1.3031951189041138, 'pvals_adj': 0.01625571090932816}]"
95,Regulatory T cells,niche,Vascular stroma,108,992,0.004062477597099281,0.14818680427531566,"[{'names': 'MGP', 'logfoldchanges': 1.8430416584014893, 'pvals_adj': 0.36691726912041683}, {'names': 'CYTOR', 'logfoldchanges': 0.7744446992874146, 'pvals_adj': 0.9997455108308564}, {'names': 'FOXP3', 'logfoldchanges': 0.4929894208908081, 'pvals_adj': 0.9997455108308564}, {'names': 'IGFBP7', 'logfoldchanges': 0.731901228427887, 'pvals_adj': 0.9997455108308564}, {'names': 'IL32', 'logfoldchanges': 0.21972720324993134, 'pvals_adj': 0.9997455108308564}]"
96,Regulatory T cells,niche,Airways,35,1065,0.07337833017561578,0.11947498045138942,"[{'names': 'MGP', 'logfoldchanges': 2.214860200881958, 'pvals_adj': 0.999352828460156}, {'names': 'PTGES2', 'logfoldchanges': 2.1828651428222656, 'pvals_adj': 0.999352828460156}, {'names': 'DUSP4', 'logfoldchanges': 1.7678896188735962, 'pvals_adj': 0.999352828460156}, {'names': 'CIITA', 'logfoldchanges': 2.0319228172302246, 'pvals_adj': 0.999352828460156}, {'names': 'HLA.DQB1', 'logfoldchanges': 1.1346319913864136, 'pvals_adj': 0.999352828460156}]"
97,Regulatory T cells,niche,Alveolar spaces,26,1074,0.02462251977228127,0.1316600383514552,"[{'names': 'IL32', 'logfoldchanges': 1.4742660522460938, 'pvals_adj': 0.9992522792966175}, {'names': 'TNFRSF4', 'logfoldchanges': 1.714964509010315, 'pvals_adj': 0.9992522792966175}, {'names': 'OAS2', 'logfoldchanges': 1.9884040355682373, 'pvals_adj': 0.9992522792966175}, {'names': 'SRGN', 'logfoldchanges': 1.4646443128585815, 'pvals_adj': 0.9992522792966175}, {'names': 'CYTOR', 'logfoldchanges': 1.6842937469482422, 'pvals_adj': 0.9992522792966175}]"
98,Mast cells,global,,380,0,0.6015357212738449,0.15016445900311226,
99,Mast cells,niche,Vascular stroma,72,308,0.18224817693296005,0.1819923543666671,"[{'names': 'TPSB2', 'logfoldchanges': 0.6306664347648621, 'pvals_adj': 0.9990491183042711}, {'names': 'IL2RA', 'logfoldchanges': 2.6452865600585938, 'pvals_adj': 0.9990491183042711}, {'names': 'TYROBP', 'logfoldchanges': 1.6093544960021973, 'pvals_adj': 0.9990491183042711}, {'names': 'LGALS3', 'logfoldchanges': 1.3190672397613525, 'pvals_adj': 0.9990491183042711}, {'names': 'IL1RL1', 'logfoldchanges': 1.05422043800354, 'pvals_adj': 0.9990491183042711}]"
100,Mast cells,niche,Smooth muscle structures,31,349,0.15480878210197754,0.18620774295005632,"[{'names': 'HPGDS', 'logfoldchanges': 1.7840549945831299, 'pvals_adj': 0.9993193174958117}, {'names': 'CTSG', 'logfoldchanges': 1.8672618865966797, 'pvals_adj': 0.9993193174958117}, {'names': 'CD300A', 'logfoldchanges': 2.727151393890381, 'pvals_adj': 0.9993193174958117}, {'names': 'ITGA9', 'logfoldchanges': 1.7039580345153809, 'pvals_adj': 0.9993193174958117}, {'names': 'DUSP5', 'logfoldchanges': 1.1630438566207886, 'pvals_adj': 0.9993193174958117}]"
101,Mast cells,niche,T cell aggregates,36,344,0.48599324351731676,0.14943862872649125,"[{'names': 'MZT2A', 'logfoldchanges': 1.7242457866668701, 'pvals_adj': 0.9987275593321999}, {'names': 'IL32', 'logfoldchanges': 2.3790059089660645, 'pvals_adj': 0.9987275593321999}, {'names': 'RPL34', 'logfoldchanges': 1.753383755683899, 'pvals_adj': 0.9987275593321999}, {'names': 'HLA.DRB1', 'logfoldchanges': 1.8416781425476074, 'pvals_adj': 0.9987275593321999}, {'names': 'HLA.E', 'logfoldchanges': 1.4657261371612549, 'pvals_adj': 0.9987275593321999}]"
102,Mast cells,niche,Desmoplastic stroma,136,244,0.5198898274184016,0.14637839384290524,"[{'names': 'IGKC', 'logfoldchanges': 1.6785037517547607, 'pvals_adj': 0.9980566840795307}, {'names': 'COL3A1', 'logfoldchanges': 1.3232274055480957, 'pvals_adj': 0.9980566840795307}, {'names': 'HLA.A', 'logfoldchanges': 0.5943484306335449, 'pvals_adj': 0.9980566840795307}, {'names': 'COL1A1', 'logfoldchanges': 0.9462506175041199, 'pvals_adj': 0.9980566840795307}, {'names': 'LGALS1', 'logfoldchanges': 0.916212797164917, 'pvals_adj': 0.9980566840795307}]"
103,Mast cells,niche,Airways,32,348,0.6525999357552981,0.13427466376643332,"[{'names': 'CLU', 'logfoldchanges': 1.5046534538269043, 'pvals_adj': 1.0}, {'names': 'PTGDS', 'logfoldchanges': 1.908244252204895, 'pvals_adj': 1.0}, {'names': 'HSP90AB1', 'logfoldchanges': 1.6496670246124268, 'pvals_adj': 1.0}, {'names': 'GSN', 'logfoldchanges': 1.7272064685821533, 'pvals_adj': 1.0}, {'names': 'TPSAB1', 'logfoldchanges': 0.7619413137435913, 'pvals_adj': 1.0}]"
104,Mast cells,niche,Tumor surface,19,361,0.567301841408916,0.14210831512454372,"[{'names': 'CD55', 'logfoldchanges': 3.959472417831421, 'pvals_adj': 0.692167222623779}, {'names': 'RPL34', 'logfoldchanges': 2.622204303741455, 'pvals_adj': 0.999517677304431}, {'names': 'ANXA1', 'logfoldchanges': 2.4566330909729004, 'pvals_adj': 0.999517677304431}, {'names': 'HSP90AB1', 'logfoldchanges': 2.10188364982605, 'pvals_adj': 0.999517677304431}, {'names': 'ZFP36', 'logfoldchanges': 1.9098358154296875, 'pvals_adj': 0.999517677304431}]"
105,Mast cells,niche,Alveolar spaces,21,359,0.7965883288646742,0.11939074352645365,"[{'names': 'AZU1', 'logfoldchanges': 1.7486785650253296, 'pvals_adj': 0.9975537440010864}, {'names': 'ITGA9', 'logfoldchanges': 2.1162469387054443, 'pvals_adj': 0.9975537440010864}, {'names': 'SQSTM1', 'logfoldchanges': 1.5988612174987793, 'pvals_adj': 0.9975537440010864}, {'names': 'IL17B', 'logfoldchanges': 3.6096608638763428, 'pvals_adj': 0.9975537440010864}, {'names': 'TPSAB1', 'logfoldchanges': 0.22905206680297852, 'pvals_adj': 0.9975537440010864}]"
106,Mast cells,niche,Excluded,16,364,0.7272240462539274,0.12697079901413047,"[{'names': 'IGHG1', 'logfoldchanges': 2.518268346786499, 'pvals_adj': 0.9975144186207917}, {'names': 'TYK2', 'logfoldchanges': 1.618757963180542, 'pvals_adj': 0.9975144186207917}, {'names': 'HLA.DRB1', 'logfoldchanges': 1.776214838027954, 'pvals_adj': 0.9975144186207917}, {'names': 'CSF1', 'logfoldchanges': 2.0472702980041504, 'pvals_adj': 0.9975144186207917}, {'names': 'STAT3', 'logfoldchanges': 1.9635581970214844, 'pvals_adj': 0.9975144186207917}]"
