,cell_type,level,niche,npos,ncont,pval,effect,dge
121,Pericytes,niche,Vascular stroma,1009,474,1.2946601521980308e-11,0.21781609936982116,"[{'names': 'VIM', 'logfoldchanges': 1.2672423124313354, 'pvals_adj': 1.464723444748686e-08}, {'names': 'MMP9', 'logfoldchanges': 2.2963268756866455, 'pvals_adj': 7.454520049254891e-08}, {'names': 'RGS5', 'logfoldchanges': 1.2318671941757202, 'pvals_adj': 3.720023275985734e-06}, {'names': 'FN1', 'logfoldchanges': 1.019979476928711, 'pvals_adj': 0.0004692332034622907}, {'names': 'GSN', 'logfoldchanges': 0.9934152960777283, 'pvals_adj': 0.0009725888715677095}]"
122,Pericytes,niche,Excluded,44,1439,3.7534296981384178e-06,0.16765446253053445,"[{'names': 'MALAT1', 'logfoldchanges': 0.6938434839248657, 'pvals_adj': 0.9997148607587748}, {'names': 'NOTCH3', 'logfoldchanges': 0.5607253909111023, 'pvals_adj': 0.9997148607587748}, {'names': 'CYTOR', 'logfoldchanges': 0.4756503701210022, 'pvals_adj': 0.9997148607587748}, {'names': 'EFNA5', 'logfoldchanges': 1.915019154548645, 'pvals_adj': 0.9997148607587748}, {'names': 'FOS', 'logfoldchanges': 0.806728720664978, 'pvals_adj': 0.9997148607587748}]"
123,Pericytes,niche,Smooth muscle structures,27,1456,0.12797231416052168,0.09661955533265584,"[{'names': 'C11orf96', 'logfoldchanges': 1.316886067390442, 'pvals_adj': 0.9996381311922218}, {'names': 'NEAT1', 'logfoldchanges': 1.0650972127914429, 'pvals_adj': 0.9996381311922218}, {'names': 'MT2A', 'logfoldchanges': 1.7800296545028687, 'pvals_adj': 0.9996381311922218}, {'names': 'S100A6', 'logfoldchanges': 1.5687031745910645, 'pvals_adj': 0.9996381311922218}, {'names': 'SPARCL1', 'logfoldchanges': 1.1600618362426758, 'pvals_adj': 0.9996381311922218}]"
124,Pericytes,niche,Desmoplastic stroma,151,1332,0.04471565535340606,0.10789968755209671,"[{'names': 'COL1A1', 'logfoldchanges': 0.6224140524864197, 'pvals_adj': 0.021380641082844182}, {'names': 'COL3A1', 'logfoldchanges': 0.5016056299209595, 'pvals_adj': 0.46870999039727235}, {'names': 'COL1A2', 'logfoldchanges': 0.3272724151611328, 'pvals_adj': 0.46870999039727235}, {'names': 'IFITM1', 'logfoldchanges': 0.6886084675788879, 'pvals_adj': 0.9999200086269362}, {'names': 'RARRES2', 'logfoldchanges': 0.9121448993682861, 'pvals_adj': 0.9999200086269362}]"
125,Pericytes,niche,Macrophage islands,27,1456,0.14558540365872608,0.09503418886981366,"[{'names': 'SPARCL1', 'logfoldchanges': 1.724136233329773, 'pvals_adj': 0.9996381311922218}, {'names': 'HLA.A', 'logfoldchanges': 0.8598018288612366, 'pvals_adj': 0.9996381311922218}, {'names': 'HLA.DRB1', 'logfoldchanges': 2.1830506324768066, 'pvals_adj': 0.9996381311922218}, {'names': 'FN1', 'logfoldchanges': 1.1822571754455566, 'pvals_adj': 0.9996381311922218}, {'names': 'IL32', 'logfoldchanges': 1.6980128288269043, 'pvals_adj': 0.9996381311922218}]"
126,Pericytes,niche,Tumor surface,34,1449,0.002085148141132931,0.1322704002402902,"[{'names': 'TIMP1', 'logfoldchanges': 1.4748307466506958, 'pvals_adj': 0.7356087088657917}, {'names': 'LUM', 'logfoldchanges': 2.167973279953003, 'pvals_adj': 0.7356087088657917}, {'names': 'COL3A1', 'logfoldchanges': 1.166752576828003, 'pvals_adj': 0.7356087088657917}, {'names': 'VCAN', 'logfoldchanges': 1.939571738243103, 'pvals_adj': 0.9982166537811172}, {'names': 'RARRES2', 'logfoldchanges': 2.2014007568359375, 'pvals_adj': 0.9982166537811172}]"
127,Pericytes,niche,T cell aggregates,82,1401,0.001800693823697714,0.13325751109966819,"[{'names': 'CD74', 'logfoldchanges': 2.153932571411133, 'pvals_adj': 0.010304767485472792}, {'names': 'STAT1', 'logfoldchanges': 1.8947875499725342, 'pvals_adj': 0.07315492294356446}, {'names': 'CXCL9', 'logfoldchanges': 2.5284786224365234, 'pvals_adj': 0.426091817852846}, {'names': 'MZT2A', 'logfoldchanges': 0.6783509254455566, 'pvals_adj': 0.4369531618606522}, {'names': 'IL32', 'logfoldchanges': 1.3500875234603882, 'pvals_adj': 0.8445783781557333}]"
128,Pericytes,niche,Airways,30,1453,0.39478780349678794,0.07992410860520464,"[{'names': 'GSN', 'logfoldchanges': 0.691676676273346, 'pvals_adj': 0.999656346884026}, {'names': 'MT2A', 'logfoldchanges': 1.4611256122589111, 'pvals_adj': 0.999656346884026}, {'names': 'COL6A2', 'logfoldchanges': 0.5418170094490051, 'pvals_adj': 0.999656346884026}, {'names': 'NOTCH3', 'logfoldchanges': 0.9914548397064209, 'pvals_adj': 0.999656346884026}, {'names': 'BMP4', 'logfoldchanges': 2.8205714225769043, 'pvals_adj': 0.999656346884026}]"
129,Pericytes,niche,Alveolar spaces,76,1407,9.011433665299533e-12,0.21905345048441954,"[{'names': 'NDRG1', 'logfoldchanges': 2.932565927505493, 'pvals_adj': 0.002188392205623319}, {'names': 'GPX3', 'logfoldchanges': 2.210272789001465, 'pvals_adj': 0.04403900712628183}, {'names': 'COL4A2', 'logfoldchanges': 0.6063292026519775, 'pvals_adj': 0.8098112421074952}, {'names': 'FOXF1', 'logfoldchanges': 1.4103800058364868, 'pvals_adj': 0.8098112421074952}, {'names': 'MZT2A', 'logfoldchanges': 0.15333475172519684, 'pvals_adj': 0.9998902941233608}]"
130,Pericytes,niche,Tumor core,3,1480,0.014017938308417003,0.11816414835916524,"[{'names': 'COL11A1', 'logfoldchanges': 6.0670342445373535, 'pvals_adj': 0.9719771978249285}, {'names': 'IGFBP3', 'logfoldchanges': 6.1687541007995605, 'pvals_adj': 0.9719771978249285}, {'names': 'COL3A1', 'logfoldchanges': 2.4171855449676514, 'pvals_adj': 0.9719771978249285}, {'names': 'IFNGR1', 'logfoldchanges': 5.866452217102051, 'pvals_adj': 0.9719771978249285}, {'names': 'RYK', 'logfoldchanges': 5.665671348571777, 'pvals_adj': 0.9719771978249285}]"
131,Plasma cells,global,,1637,0,1.3597947048292926e-12,0.11768710388352906,
132,Plasma cells,niche,Desmoplastic stroma,934,703,7.621760223238095e-08,0.17615692957962703,"[{'names': 'COL1A1', 'logfoldchanges': 1.0600234270095825, 'pvals_adj': 4.191466503375921e-06}, {'names': 'COL3A1', 'logfoldchanges': 0.9487181305885315, 'pvals_adj': 0.001427217443863175}, {'names': 'COL1A2', 'logfoldchanges': 0.840648889541626, 'pvals_adj': 0.013776434917108832}, {'names': 'JUNB', 'logfoldchanges': 0.6693928837776184, 'pvals_adj': 0.5389291327531998}, {'names': 'PTGDS', 'logfoldchanges': 0.6278209090232849, 'pvals_adj': 0.5389291327531998}]"
133,Plasma cells,niche,Vascular stroma,229,1408,0.06396106863026794,0.09930327103693994,"[{'names': 'JCHAIN', 'logfoldchanges': 0.6850475668907166, 'pvals_adj': 0.9995790575820016}, {'names': 'MZB1', 'logfoldchanges': 0.5060681700706482, 'pvals_adj': 0.9995790575820016}, {'names': 'IGHA1', 'logfoldchanges': 0.43544691801071167, 'pvals_adj': 0.9995790575820016}, {'names': 'LGALS1', 'logfoldchanges': 0.5564537048339844, 'pvals_adj': 0.9995790575820016}, {'names': 'IRF3', 'logfoldchanges': 0.7231398820877075, 'pvals_adj': 0.9995790575820016}]"
134,Plasma cells,niche,Macrophage islands,130,1507,0.2251143770492699,0.08488377319196046,"[{'names': 'MIF', 'logfoldchanges': 0.754252552986145, 'pvals_adj': 0.9995371218678031}, {'names': 'HLA.DQA1', 'logfoldchanges': 0.9609383344650269, 'pvals_adj': 0.9995371218678031}, {'names': 'HSP90B1', 'logfoldchanges': 0.48285022377967834, 'pvals_adj': 0.9995371218678031}, {'names': 'TYROBP', 'logfoldchanges': 1.2520960569381714, 'pvals_adj': 0.9995371218678031}, {'names': 'HLA.DPA1', 'logfoldchanges': 0.8321560025215149, 'pvals_adj': 0.9995371218678031}]"
135,Plasma cells,niche,Smooth muscle structures,14,1623,0.583390867464511,0.06776659800147905,"[{'names': 'SPP1', 'logfoldchanges': 2.7423481941223145, 'pvals_adj': 0.9911202970133237}, {'names': 'IFNL2', 'logfoldchanges': 4.033688545227051, 'pvals_adj': 0.9911202970133237}, {'names': 'FOXF1', 'logfoldchanges': 3.4312243461608887, 'pvals_adj': 0.9911202970133237}, {'names': 'CXCL14', 'logfoldchanges': 2.721141815185547, 'pvals_adj': 0.9911202970133237}, {'names': 'CLOCK', 'logfoldchanges': 2.5156610012054443, 'pvals_adj': 0.9911202970133237}]"
136,Plasma cells,niche,Tumor surface,74,1563,0.0017934146588228375,0.12686044679958122,"[{'names': 'IGHG1', 'logfoldchanges': 1.1884007453918457, 'pvals_adj': 0.6523457476322584}, {'names': 'IGHG2', 'logfoldchanges': 1.3694322109222412, 'pvals_adj': 0.6523457476322584}, {'names': 'COL6A3', 'logfoldchanges': 1.4188218116760254, 'pvals_adj': 0.9995983864433013}, {'names': 'TIMP1', 'logfoldchanges': 1.2795166969299316, 'pvals_adj': 0.9995983864433013}, {'names': 'HSP90AA1', 'logfoldchanges': 1.3661104440689087, 'pvals_adj': 0.9995983864433013}]"
137,Plasma cells,niche,T cell aggregates,182,1455,2.372053619536914e-14,0.22677483659877518,"[{'names': 'DUSP5', 'logfoldchanges': 2.042034387588501, 'pvals_adj': 1.4755983671379611e-07}, {'names': 'MZT2A', 'logfoldchanges': 0.9510061144828796, 'pvals_adj': 4.9762763602490894e-06}, {'names': 'CD74', 'logfoldchanges': 1.7560620307922363, 'pvals_adj': 8.635582164282435e-06}, {'names': 'JCHAIN', 'logfoldchanges': 1.3782955408096313, 'pvals_adj': 0.000854283894726581}, {'names': 'HLA.C', 'logfoldchanges': 1.2014741897583008, 'pvals_adj': 0.002019737205325202}]"
138,Plasma cells,niche,Airways,21,1616,0.1014712434749624,0.09455132675886968,"[{'names': 'HSP90B1', 'logfoldchanges': 1.784734845161438, 'pvals_adj': 0.9992585645561328}, {'names': 'HLA.DRB1', 'logfoldchanges': 2.0950822830200195, 'pvals_adj': 0.9992585645561328}, {'names': 'ENG', 'logfoldchanges': 2.6724753379821777, 'pvals_adj': 0.9992585645561328}, {'names': 'TIMP1', 'logfoldchanges': 1.7982913255691528, 'pvals_adj': 0.9992585645561328}, {'names': 'MZT2A', 'logfoldchanges': 1.470523476600647, 'pvals_adj': 0.9992585645561328}]"
139,Plasma cells,niche,Alveolar spaces,14,1623,0.7754327484815438,0.058691768036728174,"[{'names': 'MZT2A', 'logfoldchanges': 2.0045554637908936, 'pvals_adj': 0.9945375667393548}, {'names': 'IGF2R', 'logfoldchanges': 3.536851167678833, 'pvals_adj': 0.9945375667393548}, {'names': 'XBP1', 'logfoldchanges': 2.4030745029449463, 'pvals_adj': 0.9945375667393548}, {'names': 'TLR2', 'logfoldchanges': 2.523212432861328, 'pvals_adj': 0.9945375667393548}, {'names': 'RAC2', 'logfoldchanges': 2.419934034347534, 'pvals_adj': 0.9945375667393548}]"
140,Plasma cells,niche,Excluded,38,1599,0.013864375326402474,0.11255439631264216,"[{'names': 'HLA.A', 'logfoldchanges': 1.1374109983444214, 'pvals_adj': 0.999168851009381}, {'names': 'RARRES1', 'logfoldchanges': 1.6329481601715088, 'pvals_adj': 0.999168851009381}, {'names': 'CD68', 'logfoldchanges': 1.2075421810150146, 'pvals_adj': 0.999168851009381}, {'names': 'ITGA9', 'logfoldchanges': 2.0317068099975586, 'pvals_adj': 0.999168851009381}, {'names': 'SELENOP', 'logfoldchanges': 1.1684967279434204, 'pvals_adj': 0.999168851009381}]"
141,Plasma cells,niche,Tumor core,1,1636,0.368946296557489,0.07727691625658928,<2
142,Lymphatic endothelial cells,global,,670,0,4.878252782864341e-14,0.18867255386109177,
143,Lymphatic endothelial cells,niche,Excluded,25,645,0.008182936768289727,0.182144325204211,"[{'names': 'IGFBP7', 'logfoldchanges': 0.9020264744758606, 'pvals_adj': 0.13214766756323634}, {'names': 'PDGFD', 'logfoldchanges': 2.1262378692626953, 'pvals_adj': 0.9995798643378991}, {'names': 'CD34', 'logfoldchanges': 1.1250624656677246, 'pvals_adj': 0.9995798643378991}, {'names': 'CELSR1', 'logfoldchanges': 1.4561506509780884, 'pvals_adj': 0.9995798643378991}, {'names': 'FASLG', 'logfoldchanges': 2.2794554233551025, 'pvals_adj': 0.9995798643378991}]"
144,Lymphatic endothelial cells,niche,Smooth muscle structures,27,643,1.7947322700537655e-08,0.2841996326705473,"[{'names': 'VIM', 'logfoldchanges': 0.4323224723339081, 'pvals_adj': 0.025023718678332068}, {'names': 'TAGLN', 'logfoldchanges': 3.513624429702759, 'pvals_adj': 0.07015999502889948}, {'names': 'MALAT1', 'logfoldchanges': 0.9918727278709412, 'pvals_adj': 0.20531419642319074}, {'names': 'IL6ST', 'logfoldchanges': 1.998225212097168, 'pvals_adj': 0.41203274808099516}, {'names': 'JUN', 'logfoldchanges': 1.8497384786605835, 'pvals_adj': 0.90480558734536}]"
145,Lymphatic endothelial cells,niche,T cell aggregates,85,585,4.874132114873572e-06,0.24756050846881716,"[{'names': 'CD74', 'logfoldchanges': 1.5079509019851685, 'pvals_adj': 0.016084743344559845}, {'names': 'AZU1', 'logfoldchanges': 1.3443143367767334, 'pvals_adj': 0.1326530751182153}, {'names': 'RPL21', 'logfoldchanges': 0.9520191550254822, 'pvals_adj': 0.5204445645193333}, {'names': 'HLA.DQA1', 'logfoldchanges': 1.9273885488510132, 'pvals_adj': 0.5886908280313377}, {'names': 'HLA.C', 'logfoldchanges': 0.6169177889823914, 'pvals_adj': 0.6807370206653545}]"
146,Lymphatic endothelial cells,niche,Desmoplastic stroma,391,279,6.605261103284285e-08,0.2762431123500199,"[{'names': 'CCL21', 'logfoldchanges': 1.3229938745498657, 'pvals_adj': 0.0033241746647045944}, {'names': 'SELENOP', 'logfoldchanges': 1.3261057138442993, 'pvals_adj': 0.02412805254768088}, {'names': 'MMP2', 'logfoldchanges': 1.2287671566009521, 'pvals_adj': 0.028917314391685857}, {'names': 'COTL1', 'logfoldchanges': 1.1179221868515015, 'pvals_adj': 0.10886063728980137}, {'names': 'FABP5', 'logfoldchanges': 0.9219837784767151, 'pvals_adj': 0.11237596374825161}]"
147,Lymphatic endothelial cells,niche,Vascular stroma,62,608,0.08965251844059799,0.1498607258845261,"[{'names': 'BGN', 'logfoldchanges': 1.147696852684021, 'pvals_adj': 0.9989008634538482}, {'names': 'ETS1', 'logfoldchanges': 1.2211694717407227, 'pvals_adj': 0.9989008634538482}, {'names': 'RPL32', 'logfoldchanges': 1.0429896116256714, 'pvals_adj': 0.9989008634538482}, {'names': 'NOTCH1', 'logfoldchanges': 1.0295817852020264, 'pvals_adj': 0.9989008634538482}, {'names': 'MRC1', 'logfoldchanges': 1.0880537033081055, 'pvals_adj': 0.9989008634538482}]"
148,Lymphatic endothelial cells,niche,Airways,8,662,0.051120115813458746,0.1585843918397633,"[{'names': 'ITGA9', 'logfoldchanges': 2.2268896102905273, 'pvals_adj': 0.9665757120729079}, {'names': 'ANXA2', 'logfoldchanges': 1.2627549171447754, 'pvals_adj': 0.9665757120729079}, {'names': 'VIM', 'logfoldchanges': -0.12391995638608932, 'pvals_adj': 0.9665757120729079}, {'names': 'PTHLH', 'logfoldchanges': 4.31294584274292, 'pvals_adj': 0.9665757120729079}, {'names': 'NTRK2', 'logfoldchanges': 4.546175479888916, 'pvals_adj': 0.9665757120729079}]"
149,Lymphatic endothelial cells,niche,Tumor surface,38,632,0.47399583152827984,0.11336309821760478,"[{'names': 'KDR', 'logfoldchanges': 1.585598111152649, 'pvals_adj': 0.9993114760793647}, {'names': 'S100A10', 'logfoldchanges': 1.597711205482483, 'pvals_adj': 0.9993114760793647}, {'names': 'CCL21', 'logfoldchanges': 1.2851755619049072, 'pvals_adj': 0.9993114760793647}, {'names': 'LGALS1', 'logfoldchanges': 0.9957237243652344, 'pvals_adj': 0.9993114760793647}, {'names': 'MAF', 'logfoldchanges': 1.1241037845611572, 'pvals_adj': 0.9993114760793647}]"
150,Lymphatic endothelial cells,niche,Alveolar spaces,12,658,0.03732104899743582,0.16308560560477448,"[{'names': 'MALAT1', 'logfoldchanges': 0.07629383355379105, 'pvals_adj': 0.9913019285848893}, {'names': 'CD9', 'logfoldchanges': 2.6732218265533447, 'pvals_adj': 0.9913019285848893}, {'names': 'HLA.DQB1', 'logfoldchanges': 2.2858781814575195, 'pvals_adj': 0.9913019285848893}, {'names': 'GPX3', 'logfoldchanges': 3.569481134414673, 'pvals_adj': 0.9913019285848893}, {'names': 'IGFBP5', 'logfoldchanges': 2.5321834087371826, 'pvals_adj': 0.9913019285848893}]"
151,Lymphatic endothelial cells,niche,Macrophage islands,20,650,0.027768909934536897,0.16711167773622254,"[{'names': 'HLA.DPA1', 'logfoldchanges': 2.340729236602783, 'pvals_adj': 1.0}, {'names': 'FN1', 'logfoldchanges': 1.9112192392349243, 'pvals_adj': 1.0}, {'names': 'KDR', 'logfoldchanges': 2.001441478729248, 'pvals_adj': 1.0}, {'names': 'CD68', 'logfoldchanges': 2.5146076679229736, 'pvals_adj': 1.0}, {'names': 'EFNA5', 'logfoldchanges': 2.125105142593384, 'pvals_adj': 1.0}]"
152,Lymphatic endothelial cells,niche,Tumor core,2,668,0.34026607191282443,0.12294552504697025,<2
153,Dendritic cells,global,,864,0,1.3868885388786707e-27,0.19782072342028115,
154,Dendritic cells,niche,Tumor surface,136,728,1.0327460644436036e-10,0.27585294457319587,"[{'names': 'S100A6', 'logfoldchanges': 1.6584126949310303, 'pvals_adj': 0.0005081232651033232}, {'names': 'ANXA2', 'logfoldchanges': 1.395086407661438, 'pvals_adj': 0.05121149574188037}, {'names': 'CD80', 'logfoldchanges': 1.3930524587631226, 'pvals_adj': 0.05121149574188037}, {'names': 'HSP90AB1', 'logfoldchanges': 1.371324062347412, 'pvals_adj': 0.05609688149415111}, {'names': 'COTL1', 'logfoldchanges': 1.3321517705917358, 'pvals_adj': 0.05656432997114294}]"
155,Dendritic cells,niche,Vascular stroma,26,838,0.0288850332519147,0.14669573694635213,"[{'names': 'RGS2', 'logfoldchanges': 2.463404655456543, 'pvals_adj': 0.9987266618271707}, {'names': 'DUSP5', 'logfoldchanges': 1.380674123764038, 'pvals_adj': 0.9987266618271707}, {'names': 'WNT5B', 'logfoldchanges': 2.5659804344177246, 'pvals_adj': 0.9987266618271707}, {'names': 'NEAT1', 'logfoldchanges': 1.1224455833435059, 'pvals_adj': 0.9987266618271707}, {'names': 'RGS1', 'logfoldchanges': 1.043229341506958, 'pvals_adj': 0.9987266618271707}]"
156,Dendritic cells,niche,Excluded,18,846,0.1590028690935393,0.12304196763789557,"[{'names': 'CCL21', 'logfoldchanges': 2.667325973510742, 'pvals_adj': 0.9996192225820801}, {'names': 'CLCF1', 'logfoldchanges': 2.5460805892944336, 'pvals_adj': 0.9996192225820801}, {'names': 'SELENOP', 'logfoldchanges': 2.790271520614624, 'pvals_adj': 0.9996192225820801}, {'names': 'HLA.A', 'logfoldchanges': 0.5647974014282227, 'pvals_adj': 0.9996192225820801}, {'names': 'CD80', 'logfoldchanges': 0.49049556255340576, 'pvals_adj': 0.9996192225820801}]"
157,Dendritic cells,niche,Macrophage islands,87,777,0.0015787490202293828,0.17573147318614538,"[{'names': 'HLA.DRA', 'logfoldchanges': 0.7669698596000671, 'pvals_adj': 0.2993229909383756}, {'names': 'LYZ', 'logfoldchanges': 1.6138384342193604, 'pvals_adj': 0.2993229909383756}, {'names': 'HLA.DQB1', 'logfoldchanges': 0.8582461476325989, 'pvals_adj': 0.2993229909383756}, {'names': 'C1QC', 'logfoldchanges': 1.6387906074523926, 'pvals_adj': 0.4278695985631698}, {'names': 'HLA.DPA1', 'logfoldchanges': 0.8829668164253235, 'pvals_adj': 0.5072675031609578}]"
158,Dendritic cells,niche,Smooth muscle structures,1,863,0.35469311735176356,0.10730399340062471,<2
159,Dendritic cells,niche,T cell aggregates,410,454,8.409898725542799e-12,0.2872958742220801,"[{'names': 'CCL19', 'logfoldchanges': 2.370452404022217, 'pvals_adj': 1.0932337701760366e-17}, {'names': 'B2M', 'logfoldchanges': 0.5722892880439758, 'pvals_adj': 2.018870822884301e-05}, {'names': 'CXCL9', 'logfoldchanges': 1.3030753135681152, 'pvals_adj': 0.00012909273402018773}, {'names': 'CD44', 'logfoldchanges': 1.3527066707611084, 'pvals_adj': 0.00012909273402018773}, {'names': 'CD74', 'logfoldchanges': 0.43990910053253174, 'pvals_adj': 0.0007802054178398458}]"
160,Dendritic cells,niche,Desmoplastic stroma,129,735,1.9991629120846978e-10,0.27274163029370346,"[{'names': 'SAT1', 'logfoldchanges': 0.7913234233856201, 'pvals_adj': 0.39264459332647617}, {'names': 'IGFBP7', 'logfoldchanges': 1.1249223947525024, 'pvals_adj': 0.5748419617848376}, {'names': 'CCL21', 'logfoldchanges': 1.9029439687728882, 'pvals_adj': 0.9797182885201106}, {'names': 'MGP', 'logfoldchanges': 1.3076071739196777, 'pvals_adj': 0.9998474001496314}, {'names': 'CSF2RB', 'logfoldchanges': 0.5362947583198547, 'pvals_adj': 0.9998474001496314}]"
161,Dendritic cells,niche,Airways,24,840,0.21929855523582892,0.11733397885899068,"[{'names': 'HLA.DQB1', 'logfoldchanges': 0.8664641976356506, 'pvals_adj': 0.7910406310389362}, {'names': 'PTGDS', 'logfoldchanges': 2.194117784500122, 'pvals_adj': 1.0}, {'names': 'CD63', 'logfoldchanges': 1.7972180843353271, 'pvals_adj': 1.0}, {'names': 'CTNNB1', 'logfoldchanges': 1.6066893339157104, 'pvals_adj': 1.0}, {'names': 'MGP', 'logfoldchanges': 2.1827199459075928, 'pvals_adj': 1.0}]"
162,Dendritic cells,niche,Tumor core,9,855,1.4542902589953981e-11,0.2848444089926375,"[{'names': 'HSPB1', 'logfoldchanges': 4.748642444610596, 'pvals_adj': 0.015199360228719464}, {'names': 'HSPA1A', 'logfoldchanges': 4.658165454864502, 'pvals_adj': 0.9741935668030397}, {'names': 'HSP90AB1', 'logfoldchanges': 3.3554461002349854, 'pvals_adj': 0.9741935668030397}, {'names': 'TNFRSF12A', 'logfoldchanges': 3.5026018619537354, 'pvals_adj': 0.9741935668030397}, {'names': 'S100A6', 'logfoldchanges': 2.9074690341949463, 'pvals_adj': 0.9741935668030397}]"
163,Dendritic cells,niche,Alveolar spaces,24,840,0.25183097549028505,0.11466588362717003,"[{'names': 'ZFP36', 'logfoldchanges': 2.8023202419281006, 'pvals_adj': 0.44429542437042974}, {'names': 'HLA.DRA', 'logfoldchanges': 1.3062944412231445, 'pvals_adj': 0.44429542437042974}, {'names': 'HLA.DRB1', 'logfoldchanges': 0.7156865000724792, 'pvals_adj': 0.9993381229583707}, {'names': 'DUSP1', 'logfoldchanges': 2.174503803253174, 'pvals_adj': 0.9993381229583707}, {'names': 'HLA.DPA1', 'logfoldchanges': 0.8051134943962097, 'pvals_adj': 0.9993381229583707}]"
164,Alveolar cells,global,,607,0,3.4499478012193584e-10,0.18831773823761558,
165,Alveolar cells,niche,Vascular stroma,37,570,0.3385945957624494,0.1293026472788881,"[{'names': 'ADIRF', 'logfoldchanges': 1.8774123191833496, 'pvals_adj': 1.0}, {'names': 'SPP1', 'logfoldchanges': 2.256838083267212, 'pvals_adj': 1.0}, {'names': 'ITGB1', 'logfoldchanges': 1.0896286964416504, 'pvals_adj': 1.0}, {'names': 'RORA', 'logfoldchanges': 1.7553614377975464, 'pvals_adj': 1.0}, {'names': 'C1QC', 'logfoldchanges': 1.5127817392349243, 'pvals_adj': 1.0}]"
166,Alveolar cells,niche,Excluded,43,564,0.0029633686676589907,0.20297243750685695,"[{'names': 'CAV1', 'logfoldchanges': 1.4962084293365479, 'pvals_adj': 0.6884650883584487}, {'names': 'B2M', 'logfoldchanges': 0.35363471508026123, 'pvals_adj': 0.7947298045185724}, {'names': 'SREBF1', 'logfoldchanges': 1.5499687194824219, 'pvals_adj': 0.9992802112472532}, {'names': 'S100A4', 'logfoldchanges': 1.2797552347183228, 'pvals_adj': 0.9992802112472532}, {'names': 'SERPINA1', 'logfoldchanges': -0.21815575659275055, 'pvals_adj': 0.9992802112472532}]"
167,Alveolar cells,niche,Tumor surface,28,579,3.128931758226271e-07,0.27982064540544543,"[{'names': 'HLA.C', 'logfoldchanges': 1.5393034219741821, 'pvals_adj': 0.0001444119198950087}, {'names': 'COL1A1', 'logfoldchanges': 3.0654170513153076, 'pvals_adj': 0.0031768398956932052}, {'names': 'HLA.A', 'logfoldchanges': 0.956237256526947, 'pvals_adj': 0.0141582496813202}, {'names': 'S100A6', 'logfoldchanges': 1.209372639656067, 'pvals_adj': 0.016521983510427676}, {'names': 'HLA.B', 'logfoldchanges': 1.1017669439315796, 'pvals_adj': 0.0206124875063287}]"
168,Alveolar cells,niche,Desmoplastic stroma,17,590,0.0006022204197974351,0.21928691557388752,"[{'names': 'NOTCH1', 'logfoldchanges': 2.914954900741577, 'pvals_adj': 0.9976815012281266}, {'names': 'S100A6', 'logfoldchanges': 1.083929419517517, 'pvals_adj': 0.9976815012281266}, {'names': 'COL6A2', 'logfoldchanges': 2.769867181777954, 'pvals_adj': 0.9976815012281266}, {'names': 'IGF2R', 'logfoldchanges': 2.251319408416748, 'pvals_adj': 0.9976815012281266}, {'names': 'VIM', 'logfoldchanges': 1.5744644403457642, 'pvals_adj': 0.9976815012281266}]"
169,Alveolar cells,niche,Tumor core,3,604,0.26776143766255683,0.13533285056468586,"[{'names': 'MET', 'logfoldchanges': 5.214698791503906, 'pvals_adj': 0.9427331073367952}, {'names': 'CYTOR', 'logfoldchanges': 5.451150417327881, 'pvals_adj': 0.9427331073367952}, {'names': 'COL6A2', 'logfoldchanges': 5.551074504852295, 'pvals_adj': 0.9427331073367952}, {'names': 'HSPB1', 'logfoldchanges': 3.4128267765045166, 'pvals_adj': 0.9427331073367952}, {'names': 'HSP90AB1', 'logfoldchanges': 3.16135573387146, 'pvals_adj': 0.9427331073367952}]"
170,Alveolar cells,niche,Macrophage islands,9,598,0.39047574475262575,0.12525314060514167,"[{'names': 'CD68', 'logfoldchanges': 4.0135345458984375, 'pvals_adj': 0.9971065596645179}, {'names': 'C1QA', 'logfoldchanges': 4.161522388458252, 'pvals_adj': 0.9971065596645179}, {'names': 'JUNB', 'logfoldchanges': 2.529163122177124, 'pvals_adj': 0.9971065596645179}, {'names': 'HLA.B', 'logfoldchanges': 1.6282349824905396, 'pvals_adj': 0.9971065596645179}, {'names': 'CD40', 'logfoldchanges': 3.4364893436431885, 'pvals_adj': 0.9971065596645179}]"
171,Alveolar cells,niche,T cell aggregates,15,592,0.28116430049311736,0.1341332530865063,"[{'names': 'FYB1', 'logfoldchanges': 3.155510425567627, 'pvals_adj': 1.0}, {'names': 'SMAD2', 'logfoldchanges': 2.072148323059082, 'pvals_adj': 1.0}, {'names': 'LTB', 'logfoldchanges': 3.103606939315796, 'pvals_adj': 1.0}, {'names': 'TNFSF15', 'logfoldchanges': 3.036324977874756, 'pvals_adj': 1.0}, {'names': 'P2RY12', 'logfoldchanges': 3.536069869995117, 'pvals_adj': 1.0}]"
172,Alveolar cells,niche,Alveolar spaces,444,163,3.025869619546967e-05,0.24575514463650322,"[{'names': 'CD63', 'logfoldchanges': 1.0975139141082764, 'pvals_adj': 0.0007293920634902864}, {'names': 'GSTP1', 'logfoldchanges': 1.084076166152954, 'pvals_adj': 0.010855887708852284}, {'names': 'SLPI', 'logfoldchanges': 1.4814938306808472, 'pvals_adj': 0.010855887708852284}, {'names': 'GDF15', 'logfoldchanges': 1.3654041290283203, 'pvals_adj': 0.03277730282177142}, {'names': 'LAMP3', 'logfoldchanges': 1.3342466354370117, 'pvals_adj': 0.03491085416807574}]"
