cell_type,niche,names,scores,logfoldchanges,pvals,pvals_adj
Fibroblasts,Tumor surface,IL6ST,-4.6742926,-0.66527224,2.949684640700838e-06,4.1304115365652086e-05
Fibroblasts,Tumor surface,ITGA5,3.7164617,0.66468304,0.00020203229822169142,0.002041589539924461
Fibroblasts,Tumor surface,S100A10,5.4491277,0.6604886,5.0617495743776195e-08,7.966032117053303e-07
Fibroblasts,Tumor surface,CCL2,-4.556317,-0.6566927,5.205840533188859e-06,7.038882974452543e-05
Fibroblasts,Tumor surface,ITGB8,-1.3755955,-0.653581,0.16894690878232754,0.7873254001506527
Fibroblasts,Tumor surface,EPCAM,2.0503318,0.65333474,0.040332051755110856,0.24505550433485077
Fibroblasts,Tumor surface,MMP3,1.1002845,0.6506705,0.2712081815640226,0.9979578088331161
Fibroblasts,Tumor surface,ITGB1,6.9288964,0.64893746,4.24135638827935e-12,9.694528887495658e-11
Fibroblasts,Tumor surface,ITGAV,5.763445,0.6452526,8.241421559199205e-09,1.438502672151134e-07
Fibroblasts,Tumor surface,RGCC,-3.2879608,-0.63916224,0.0010091589306433532,0.008970301605718696
Fibroblasts,Tumor surface,ANGPT1,-1.6240938,-0.63809603,0.10435580258185395,0.5444650569488032
Fibroblasts,Tumor surface,C1QA,-3.2233841,-0.6341475,0.0012668557624745341,0.010956590378158132
Fibroblasts,Tumor surface,TPM2,7.1595173,0.63332415,8.096152005165785e-13,1.895684371941257e-11
Fibroblasts,Tumor surface,CD74,-6.9159408,-0.6224573,4.6476936077051894e-12,1.037624619394647e-10
Fibroblasts,Tumor surface,CTSW,-0.79941887,-0.6205635,0.42404756410187294,0.9979578088331161
Fibroblasts,Tumor surface,RARRES1,-4.11648,-0.61242586,3.847028005087559e-05,0.0004396603434385782
Fibroblasts,Tumor surface,SLC2A1,1.4515263,0.61088413,0.14663335914908746,0.715297341230326
Fibroblasts,Tumor surface,MET,1.1957219,0.609131,0.23180511422820838,0.9550768654896139
Fibroblasts,Tumor surface,ADGRV1,0.64334637,0.6077491,0.5199993826811216,0.9979578088331161
Fibroblasts,Tumor surface,C1QB,-2.6205983,-0.60619265,0.008777559423732647,0.06532137245568481
Fibroblasts,Tumor surface,SOD2,-6.2229376,-0.59803426,4.87931765426951e-10,9.368289896197459e-09
Fibroblasts,Tumor surface,TACSTD2,1.3100593,0.5968087,0.19017575603392278,0.8452255823729902
Fibroblasts,Tumor surface,COL5A2,7.165853,0.5964111,7.730370465395907e-13,1.855288911695018e-11
Fibroblasts,Tumor surface,IL34,-1.3884045,-0.5947603,0.1650139140316279,0.7727480852212819
Fibroblasts,Tumor surface,SEC23A,4.3530383,0.59184015,1.3426382166210886e-05,0.00016680223145674133
Fibroblasts,Tumor surface,ITGAE,1.4168508,0.58200103,0.15652654622107748,0.7513274218611719
Fibroblasts,Tumor surface,S100A6,7.7915525,0.5804166,6.6190680386899206e-15,1.8689133285712717e-13
Fibroblasts,Tumor surface,NDRG1,2.8948324,0.57943904,0.003793610962011161,0.030603920365804324
Fibroblasts,Tumor surface,COL16A1,7.3632464,0.5785314,1.7949052494899311e-13,4.657051458136038e-12
Fibroblasts,Tumor surface,APOA1,0.8659958,0.5739813,0.38649244817816253,0.9979578088331161
Fibroblasts,Tumor surface,TNFSF13B,-1.7694254,-0.57184917,0.07682291742049469,0.4190340950208801
Fibroblasts,Tumor surface,ZFP36,-6.8005304,-0.57166713,1.0423457658221453e-11,2.2236709670872435e-10
Fibroblasts,Tumor surface,CLEC1A,1.041274,0.56837946,0.29774842663971546,0.9979578088331161
Fibroblasts,Tumor surface,BMPR2,3.4279773,0.554278,0.0006080961318563004,0.005507285722472155
Fibroblasts,Tumor surface,ANXA1,4.064617,0.55405474,4.811136599803166e-05,0.0005308840385989701
Fibroblasts,Tumor surface,TNFSF14,-1.3943485,-0.5530623,0.16321238465981736,0.7717028451802781
Fibroblasts,Tumor surface,HLA.DQB1,-4.5046463,-0.55287015,6.6483569069600525e-06,8.624895446867095e-05
Fibroblasts,Tumor surface,CD9,3.8757608,0.55165327,0.00010629208919734881,0.0010972086626823102
Fibroblasts,Tumor surface,CD276,4.6729712,0.5513822,2.9687332919062433e-06,4.1304115365652086e-05
Fibroblasts,Tumor surface,IFI27,2.4314818,0.5486821,0.015037204975813437,0.10537019545095548
Fibroblasts,Tumor surface,ITM2A,-0.70593196,-0.54715276,0.48023046048137796,0.9979578088331161
Fibroblasts,Tumor surface,APOD,-1.9394541,-0.54595155,0.05244607315011041,0.31079154459324687
Fibroblasts,Tumor surface,MYL9,4.861013,0.54539967,1.1678651466959518e-06,1.698712940648657e-05
Fibroblasts,Tumor surface,IL33,-1.3216714,-0.53911793,0.18627759444600334,0.8356378068605756
Fibroblasts,Tumor surface,FGF1,1.9343811,0.53862315,0.05306628307135034,0.3125376180889345
Fibroblasts,Tumor surface,HSP90AB1,6.1461625,0.53813916,7.937986892114561e-10,1.4654745031596112e-08
Fibroblasts,Tumor surface,JUN,6.875611,0.53353864,6.172489104718038e-12,1.3467248955748447e-10
Fibroblasts,Tumor surface,KRT7,1.7770416,0.5328635,0.07556140893406185,0.4145083004382822
Fibroblasts,Tumor surface,CALD1,6.456599,0.53218555,1.070818434732426e-10,2.1416368694648518e-09
Fibroblasts,Tumor surface,COL1A2,7.2806025,0.5300184,3.323331400119534e-13,8.1805080618327e-12
Fibroblasts,Tumor surface,FZD8,1.4698948,0.52927,0.1415902716233651,0.7006528905073737
Fibroblasts,Tumor surface,MYH11,0.8269398,0.5268153,0.4082711839492107,0.9979578088331161
Fibroblasts,Tumor surface,RARB,2.1646106,0.5259784,0.03041752018575541,0.1933829097902331
Fibroblasts,Tumor surface,CCND1,2.8976517,0.5211294,0.0037596794657502944,0.030587222772205786
Fibroblasts,Tumor surface,WNT2,-1.4005212,-0.5209908,0.16135732923424906,0.7668467131924708
Fibroblasts,Tumor surface,FGFR1,5.241231,0.5199322,1.595091009362307e-07,2.4306148714092295e-06
Fibroblasts,Tumor surface,XCL2,1.0459849,0.51908123,0.29556803556513234,0.9979578088331161
Fibroblasts,Tumor surface,TNFAIP6,2.4744885,0.5127097,0.01334271413770889,0.094881522757041
Fibroblasts,Tumor surface,SAT1,4.0005608,0.5124392,6.319253752559526e-05,0.0006816273710626005
Fibroblasts,Tumor surface,VSIR,-1.4191316,-0.5122996,0.15586065223636894,0.7513274218611719
Fibroblasts,Tumor surface,CYTOR,4.213101,0.51038164,2.5188871412989968e-05,0.0002985347723021033
Fibroblasts,Tumor surface,IL20RA,1.1929637,0.50380456,0.23288360217390813,0.9554199063544949
Fibroblasts,Tumor surface,ANXA2,4.9928684,0.5007716,5.948914537985743e-07,8.786089163794329e-06
Fibroblasts,Tumor surface,COL1A1,7.553526,0.49880442,4.2362952037733704e-14,1.1619552558921243e-12
Fibroblasts,Tumor surface,FGR,-0.7227685,-0.49853718,0.46982211754505676,0.9979578088331161
Fibroblasts,Tumor surface,PROKR1,0.4952045,0.49755186,0.6204557707176495,0.9979578088331161
Fibroblasts,Tumor surface,CD33,0.6267994,0.49522078,0.5307907268041788,0.9979578088331161
Fibroblasts,Tumor surface,BAG3,1.831124,0.49365884,0.06708204084912162,0.37441139078579505
Fibroblasts,Tumor surface,IL4R,2.7769063,0.49305683,0.005487900590348787,0.04283239485150273
Fibroblasts,Tumor surface,MMP2,6.494841,0.49056304,8.312121250293615e-11,1.6977949787833766e-09
Fibroblasts,Tumor surface,CDH11,6.1662483,0.4898044,6.992918196962203e-10,1.3163140135458265e-08
Fibroblasts,Tumor surface,HSP90AA1,4.350986,0.47954187,1.3552681305860234e-05,0.00016680223145674133
Fibroblasts,Tumor surface,AXL,2.3042245,0.47736377,0.021210049705817222,0.14140033137211483
Fibroblasts,Tumor surface,ANXA4,2.6832542,0.47710043,0.007290956327680166,0.05511274074466897
Fibroblasts,Tumor surface,ROR1,-1.5537268,-0.46568015,0.12024959309784153,0.6183535081108649
Fibroblasts,Tumor surface,HLA.DPB1,-2.0964067,-0.4629883,0.036046122450064784,0.22182229200039866
Fibroblasts,Tumor surface,FYB1,-0.9161209,-0.46226922,0.35960350375477046,0.9979578088331161
Fibroblasts,Tumor surface,HLA.DRB1,-3.9855638,-0.4613088,6.732007662004661e-05,0.0007101898192884038
Fibroblasts,Tumor surface,ADGRD1,-0.88481224,-0.4589794,0.37625790933523673,0.9979578088331161
Fibroblasts,Tumor surface,CASP3,1.0628871,0.45792207,0.2878331930648279,0.9979578088331161
Fibroblasts,Tumor surface,FGF12,0.77201563,0.45679826,0.44010517125464477,0.9979578088331161
Fibroblasts,Tumor surface,HLA.B,5.5121565,0.4564178,3.544632122615267e-08,5.969906732825713e-07
Fibroblasts,Tumor surface,CDH5,-0.44811144,-0.45173806,0.6540727632112326,0.9979578088331161
Fibroblasts,Tumor surface,HLA.DRA,-3.5435572,-0.45059317,0.00039476785328941197,0.0037897713915783547
Fibroblasts,Tumor surface,FGF18,2.0389123,0.44981998,0.04145879113219529,0.25031722947740553
Fibroblasts,Tumor surface,TWIST1,1.6401904,0.44691017,0.10096558161887764,0.5296555101318172
Fibroblasts,Tumor surface,LYZ,-2.28968,-0.44627014,0.022039877436202268,0.1457443018774748
Fibroblasts,Tumor surface,RBPJ,3.4724367,0.44452232,0.0005157566690570213,0.004854180414654318
Fibroblasts,Tumor surface,GAS6,-3.6637957,-0.4423049,0.0002485051029507006,0.0024850510295070056
Fibroblasts,Tumor surface,CD52,-1.2685257,-0.43957365,0.20461027992294012,0.8653121970309362
Fibroblasts,Tumor surface,IDO1,-0.96424115,-0.43776083,0.33492502530957624,0.9979578088331161
Fibroblasts,Tumor surface,CXCR4,-0.68915874,-0.4373067,0.4907233810159016,0.9979578088331161
Fibroblasts,Tumor surface,CXCR3,0.93890375,0.43520528,0.34778016798634837,0.9979578088331161
Fibroblasts,Tumor surface,WNT5A,1.1608405,0.43433392,0.2457067804636761,0.9936276475604461
Fibroblasts,Tumor surface,CPB1,0.5080203,0.43423274,0.6114391097594392,0.9979578088331161
Fibroblasts,Tumor surface,TM4SF1,1.5424745,0.43420565,0.12295832107245849,0.6245502022728051
Fibroblasts,Tumor surface,CXCL12,-4.366607,-0.43368983,1.2619128949250917e-05,0.00015939952356948528
Fibroblasts,Tumor surface,IGFBP3,3.6545367,0.4333748,0.00025764675521325564,0.0025499060309765505
Fibroblasts,Tumor surface,IGFBP6,2.2875235,0.4322429,0.022165279243865958,0.1457443018774748
Fibroblasts,Tumor surface,AGR2,0.49307534,0.4315766,0.6219593627567281,0.9979578088331161
Fibroblasts,Tumor surface,LY75,-0.4278356,-0.43146878,0.6687707998578367,0.9979578088331161
