cell_type,niche,names,scores,logfoldchanges,pvals,pvals_adj
Neutrophil,Cancer - myeloid-enriched,CXCL6,0.6894171,2.9785354,0.49056081848580413,1.0
Neutrophil,Cancer - myeloid-enriched,IL2RA,0.6530285,2.9722495,0.513737920584393,1.0
Neutrophil,Cancer - myeloid-enriched,IGHG1,2.0741522,2.9447024,0.038065178562528584,0.7613035712505717
Neutrophil,Cancer - myeloid-enriched,SAMD3,0.9942949,2.862394,0.32007933563098057,1.0
Neutrophil,Cancer - myeloid-enriched,CTSS,-1.1708289,-2.850054,0.2416675519516598,1.0
Neutrophil,Cancer - myeloid-enriched,CCR4,0.5836934,2.8250723,0.5594266257037606,1.0
Neutrophil,Cancer - myeloid-enriched,IGHG3,1.3414621,2.8188088,0.17977046349659487,1.0
Neutrophil,Cancer - myeloid-enriched,IGHG2,1.2352467,2.738835,0.21673872768023061,1.0
Neutrophil,Cancer - myeloid-enriched,CSF1R,-0.7420331,-2.734105,0.45806727495517185,1.0
Neutrophil,Cancer - myeloid-enriched,FCRL3,0.23750961,2.6722062,0.812261469501384,1.0
Neutrophil,Cancer - myeloid-enriched,ID4,0.61516464,2.6697612,0.5384460061305466,1.0
Neutrophil,Cancer - myeloid-enriched,GNLY,0.3427416,2.6671972,0.7317928621700697,1.0
Neutrophil,Cancer - myeloid-enriched,IL2RB,0.5482882,2.658386,0.5834940174456584,1.0
Neutrophil,Cancer - myeloid-enriched,MZB1,0.5492717,2.6571047,0.582819010644869,1.0
Neutrophil,Cancer - myeloid-enriched,PAX5,0.72039664,2.6551309,0.4712808276211744,1.0
Neutrophil,Cancer - myeloid-enriched,NCAM1,0.44699013,2.5812795,0.6548821905451817,1.0
Neutrophil,Cancer - myeloid-enriched,VCAN,-1.8872917,-2.5776098,0.059121110918411296,0.976783571695491
Neutrophil,Cancer - myeloid-enriched,LILRA4,1.2209862,2.56424,0.22209123552713883,1.0
Neutrophil,Cancer - myeloid-enriched,FCER1A,0.47796965,2.5603716,0.6326718154838993,1.0
Neutrophil,Cancer - myeloid-enriched,CCL16,0.78727305,2.5118032,0.4311220512643196,1.0
Neutrophil,Cancer - myeloid-enriched,CORO1A,-3.0340254,-2.5076344,0.0024131413198814544,0.11462421269436908
Neutrophil,Cancer - myeloid-enriched,CD28,1.1187047,2.4781392,0.2632661581957494,1.0
Neutrophil,Cancer - myeloid-enriched,FCGR3A,-1.1418164,-2.4552124,0.2535303619763224,1.0
Neutrophil,Cancer - myeloid-enriched,CD40,0.34175813,2.3919857,0.7325329249298339,1.0
Neutrophil,Cancer - myeloid-enriched,PDGFRA,0.58074296,2.3917363,0.5614137137837314,1.0
Neutrophil,Cancer - myeloid-enriched,BANK1,0.578776,2.3651009,0.5627403330321932,1.0
Neutrophil,Cancer - myeloid-enriched,CD38,0.578776,2.3623884,0.5627403330321932,1.0
Neutrophil,Cancer - myeloid-enriched,SPON2,0.44453144,2.359967,0.6566584086231655,1.0
Neutrophil,Cancer - myeloid-enriched,CD80,0.885129,2.3539782,0.37608708241276567,1.0
Neutrophil,Cancer - myeloid-enriched,CXCL9,0.23652613,2.3363187,0.8130244357086753,1.0
Neutrophil,Cancer - myeloid-enriched,DMBT1,0.7135123,2.304093,0.4755288118759291,1.0
Neutrophil,Cancer - myeloid-enriched,SELL,-2.8520823,-2.2656085,0.004343386734520774,0.15004426901071766
Neutrophil,Cancer - myeloid-enriched,FABP3,1.0144562,2.2350087,0.31036515054268543,1.0
Neutrophil,Cancer - myeloid-enriched,CD40LG,0.4760027,2.2322772,0.634072465451585,1.0
Neutrophil,Cancer - myeloid-enriched,TREM2,0.44502318,2.2285955,0.6563030093393107,1.0
Neutrophil,Cancer - myeloid-enriched,CD79A,0.3722459,2.2238681,0.7097097736614733,1.0
Neutrophil,Cancer - myeloid-enriched,CPA3,0.7144958,2.2155125,0.47492067400442606,1.0
Neutrophil,Cancer - myeloid-enriched,CCR7,0.23750961,2.2129514,0.812261469501384,1.0
Neutrophil,Cancer - myeloid-enriched,VSIR,-2.5177002,-2.211402,0.011812383485282183,0.2992470482938153
Neutrophil,Cancer - myeloid-enriched,A2M,-2.6234238,-2.2103677,0.008705089324563384,0.23628099595243474
Neutrophil,Cancer - myeloid-enriched,CXCR6,0.33979118,2.1949944,0.7340137961720524,1.0
